id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
gestao-vite-literal-value-2d10855e,gestao-vite,3,literal-value,pagamento,,apps/gestao-vite/src/paginas/fluxo/conteudos/regras.ts:13,49,unknown,,,candidate,,
gestao-vite-literal-value-88c659e6,gestao-vite,3,literal-value,Pagamentos,,apps/gestao-vite/src/paginas/fluxo/itens.ts:77,10,unknown,,,candidate,,
gestao-vite-literal-value-59fd0367,gestao-vite,3,literal-value,Papel,,apps/gestao-vite/src/paginas/contrato/membros/tabela.tsx:57,63,unknown,,,candidate,,
gestao-vite-literal-value-f95a2f88,gestao-vite,3,literal-value,papel,,apps/gestao-vite/src/paginas/contrato/membros/tabela.tsx:74,521,unknown,,,candidate,,
gestao-vite-literal-value-2bdc4b79,gestao-vite,3,literal-value,"Para incluir esta variável no fluxo, utilize {{NomeDaVariável}}",,apps/gestao-vite/src/paginas/builder/conteudo.ts:46,0,unknown,,,candidate,,
gestao-vite-literal-value-32b0bb98,gestao-vite,3,literal-value,"Para WhastApp, defina até 10 opções para o menu, com no máximo 24 caracteres cada.",,apps/gestao-vite/src/paginas/builder/conteudo.ts:39,0,unknown,,,candidate,,
gestao-vite-literal-value-c119bda7,gestao-vite,3,literal-value,"Para WhastApp, defina até 3 opções para o Quick Reply, com até 20 caracteres cada.",,apps/gestao-vite/src/paginas/builder/conteudo.ts:40,0,unknown,,,candidate,,
gestao-vite-literal-value-900ca87e,gestao-vite,3,literal-value,pendente,,apps/gestao-vite/src/lib/passos-da-implantacao.ts:38,162,unknown,,,candidate,,
gestao-vite-literal-value-0d9bb85d,gestao-vite,3,literal-value,Precisa de ajuda para desenvolver o contato inteligente da sua empresa?,,apps/gestao-vite/src/paginas/criar/casco.tsx:59,0,unknown,,,candidate,,
gestao-vite-literal-value-5a631786,gestao-vite,3,literal-value,preferencias-gerais,,apps/gestao-vite/src/componentes/icones-portal.tsx:623,3,unknown,,,candidate,,
gestao-vite-literal-value-75d8fb3b,gestao-vite,3,literal-value,primeira_resposta,,apps/gestao-vite/src/lib/pesquisa.ts:41,49,unknown,,,candidate,,
gestao-vite-literal-value-7b2497d4,gestao-vite,3,literal-value,"Quando você importar o fluxo, a versão atual será substituída. Deseja continuar?",,apps/gestao-vite/src/paginas/builder/importar-exportar.ts:24,0,unknown,,,candidate,,
gestao-vite-literal-value-b6799c72,gestao-vite,3,literal-value,Rastreamento de eventos,,apps/gestao-vite/src/paginas/fluxo/analise/gerenciador-de-relatorios/tela.tsx:20,0,unknown,,,candidate,,
gestao-vite-literal-value-8cb09a3d,gestao-vite,3,literal-value,recebidas,,apps/gestao-vite/src/paginas/fluxo/analise/visao-geral/visao-geral.tsx:220,55,unknown,,,candidate,,
gestao-vite-literal-value-db76edbb,gestao-vite,3,literal-value,reports,,apps/gestao-vite/src/paginas/fluxo/analise/abas.ts:84,294,unknown,,,candidate,,
gestao-vite-literal-value-ce975c0a,gestao-vite,3,literal-value,Resposta do usuário,,apps/gestao-vite/src/paginas/builder/condicoes.ts:25,0,unknown,,,candidate,,
gestao-vite-literal-value-6becf727,gestao-vite,3,literal-value,roteador,,apps/gestao-vite/src/paginas/fluxo/itens.ts:39,387,unknown,,,candidate,,
gestao-vite-literal-value-e8da730b,gestao-vite,3,literal-value,Roteador,,apps/gestao-vite/src/paginas/portal.tsx:537,24,unknown,,,candidate,,
gestao-vite-literal-value-6eb10a05,gestao-vite,3,literal-value,roteador,,apps/gestao-vite/tests/fluxo-detalhe.test.ts:25,387,unknown,,,candidate,,
gestao-vite-literal-value-0f8d9b2e,gestao-vite,3,literal-value,roteador,,apps/gestao-vite/tests/fluxo-detalhe.test.ts:32,387,unknown,,,candidate,,
gestao-vite-literal-value-fbb18ce5,gestao-vite,3,literal-value,roteador,,apps/gestao-vite/tests/fluxo-detalhe.test.ts:39,387,unknown,,,candidate,,
gestao-vite-literal-value-57c8f669,gestao-vite,3,literal-value,roteador,,apps/gestao-vite/tests/fluxo-detalhe.test.ts:47,387,unknown,,,candidate,,
gestao-vite-literal-value-6408e007,gestao-vite,3,literal-value,roteador,,apps/gestao-vite/tests/fluxo-detalhe.test.ts:58,387,unknown,,,candidate,,
gestao-vite-literal-value-d7857571,gestao-vite,3,literal-value,Saídas de atendimento,,apps/gestao-vite/src/paginas/builder/condicoes.ts:75,0,unknown,,,candidate,,
gestao-vite-literal-value-5114c6cd,gestao-vite,3,literal-value,Salvar resposta em variável,,apps/gestao-vite/src/paginas/builder/conteudo.ts:45,0,unknown,,,candidate,,
gestao-vite-literal-value-b5c347e0,gestao-vite,3,literal-value,Sem agrupamento,,apps/gestao-vite/src/lib/historico.ts:73,0,unknown,,,candidate,,
gestao-vite-literal-value-70a73d86,gestao-vite,3,literal-value,sem_arquivo,,apps/gestao-vite/src/lib/certificados.ts:25,7,unknown,,,candidate,,
gestao-vite-literal-value-a20baa08,gestao-vite,3,literal-value,sem_regra,,apps/gestao-vite/src/lib/sla.ts:24,6,unknown,,,candidate,,
gestao-vite-literal-value-fd15a667,gestao-vite,3,literal-value,Situação,,apps/gestao-vite/src/lib/csv-historico.ts:25,9,unknown,,,candidate,,
gestao-vite-literal-value-a7527c9a,gestao-vite,3,literal-value,Solicite um orçamento,,apps/gestao-vite/src/paginas/criar/casco.tsx:60,0,unknown,,,candidate,,
