id,scope,slice,kind,old,new,declared_at,consumers,persisted,category,decision_ref,status,owner,notes
api-symbol-6ed581e3,api,2,symbol,relatorioDeEsforco,,apps/api/src/controladores/gestao-operacao.ts:275,1,no,,,candidate,,
api-symbol-530321d2,api,2,symbol,relatorioDeSatisfacao,,apps/api/src/controladores/gestao-operacao.ts:290,1,no,,,candidate,,
api-symbol-481048e5,api,2,symbol,RelatorioEsforco,,apps/api/src/dominio/gestao/esforco.ts:46,7,no,,,candidate,,
api-symbol-d2bf301d,api,2,symbol,relatorios,,apps/api/src/controladores/gestao-analise.ts:216,47,no,,,candidate,,
api-symbol-8d98a1e7,api,2,symbol,RelatorioSatisfacao,,apps/api/src/dominio/gestao/satisfacao.ts:59,7,no,,,candidate,,
api-symbol-a9015b19,api,2,symbol,relogioMidia,,apps/api/src/filas.ts:241,7,no,,,candidate,,
api-symbol-5f3292d4,api,2,symbol,removerMembro,,apps/api/src/dominio/gestao/contrato.ts:299,8,no,,,candidate,,
api-symbol-1a97c598,api,2,symbol,removerMembro,,apps/api/src/dominio/gestao/equipe-do-fluxo.ts:489,8,no,,,candidate,,
api-symbol-7784b192,api,2,symbol,renovarTokenDoCanal,,apps/api/src/dominio/instagram/renovacao.ts:35,6,no,,,candidate,,
api-symbol-4db66490,api,2,symbol,requisicao,,apps/api/src/autenticacao.ts:183,450,no,,,candidate,,
api-symbol-da6ea210,api,2,symbol,requisicao,,apps/api/src/dominio/mtls.ts:192,450,no,,,candidate,,
api-symbol-9f0d0ec4,api,2,symbol,requisicao,,apps/api/src/erros.ts:31,450,no,,,candidate,,
api-symbol-1aa529af,api,2,symbol,requisicao,,apps/api/src/sessao.ts:149,450,no,,,candidate,,
api-symbol-2b7ab35c,api,2,symbol,requisicao,,apps/api/tests/canais.test.ts:81,450,no,,,candidate,,
api-symbol-52fd0af1,api,2,symbol,requisicao,,apps/api/tests/historico.test.ts:36,450,no,,,candidate,,
api-symbol-f1e777fb,api,2,symbol,requisicao,,apps/api/tests/importacao.test.ts:261,450,no,,,candidate,,
api-symbol-ab0cb2c0,api,2,symbol,requisicao,,apps/api/tests/instagram.test.ts:62,450,no,,,candidate,,
api-symbol-70c641ae,api,2,symbol,requisicao,,apps/api/tests/messenger.test.ts:69,450,no,,,candidate,,
api-symbol-c04abe44,api,2,symbol,RequisicaoAutenticada,,apps/api/src/autenticacao.ts:50,33,no,,,candidate,,
api-symbol-30ac2cb0,api,2,symbol,requisicaoCasada,,apps/api/tests/chave-de-fluxo.test.ts:134,6,no,,,candidate,,
api-symbol-87a81b46,api,2,symbol,RequisicaoComCorpoCru,,apps/api/src/controladores/webhooks-whatsapp.ts:9,7,no,,,candidate,,
api-symbol-e40bd3f3,api,2,symbol,RequisicaoComSessao,,apps/api/src/sessao.ts:56,217,no,,,candidate,,
api-symbol-e72baf91,api,2,symbol,resolucao,,apps/api/tests/sla-motor.test.ts:175,10,no,,,candidate,,
api-symbol-e3b1034d,api,2,symbol,resolverCanal,,apps/api/src/banco.ts:72,25,no,,,candidate,,
api-symbol-5132f9f8,api,2,symbol,resolverCanalPorIdentificador,,apps/api/src/banco.ts:112,3,no,,,candidate,,
api-symbol-691a2f63,api,2,symbol,RESPOSTA_PRONTA_GERENCIAR,,apps/api/src/dominio/gestao/comunicacao.ts:14,4,no,,,candidate,,
api-symbol-69692319,api,2,symbol,respostaContato,,apps/api/tests/gerar-fixtures-jsonb.helper.ts:279,1,no,,,candidate,,
api-symbol-802a3cdd,api,2,symbol,RespostaDaMonitoria,,apps/api/src/controladores/gestao-operacao.ts:112,4,no,,,candidate,,
api-symbol-5e34d0e6,api,2,symbol,RespostaDeCriacao,,apps/api/tests/ciclo-de-vida-do-fluxo.test.ts:141,3,no,,,candidate,,
api-symbol-74b9f9be,api,2,symbol,RespostaDeMensagensAtivas,,apps/api/src/controladores/gestao-analise.ts:75,4,no,,,candidate,,
api-symbol-95961792,api,2,symbol,RespostaDeRelatorio,,apps/api/src/controladores/gestao-operacao.ts:105,3,no,,,candidate,,
api-symbol-5099e5a7,api,2,symbol,RespostaDoHistorico,,apps/api/src/controladores/gestao-operacao.ts:88,4,no,,,candidate,,
api-symbol-0aca261d,api,2,symbol,RespostaDoMonitoramento,,apps/api/src/controladores/gestao-operacao.ts:81,4,no,,,candidate,,
